2020-06-22
 14:32:41.784911100
Data/J30/ 
  BRANCHEMENT STATIQUE 
Inst |old_time |old_backt |makespan |old_prop |new_time |new_backt |makespan |new_prop|  
j30_12_5.rcp | 0.0098072 | 14 | 47 | 0 | 0.0072115 | 14 | 47 | 0 |  
j30_12_6.rcp | 0.0105257 | 12 | 53 | 4 | 0.0086175 | 12 | 53 | 4 |  
j30_12_7.rcp | 0.0153154 | 14 | 55 | 1 | 0.0103801 | 14 | 55 | 1 |  
j30_12_8.rcp | 0.0129505 | 15 | 35 | 0 | 0.0073055 | 15 | 35 | 0 |  
j30_12_9.rcp | 0.021505 | 11 | 52 | 4 | 0.011633 | 11 | 52 | 4 |  
j30_12_10.rcp | 0.0116611 | 12 | 57 | 0 | 0.0073454 | 12 | 57 | 0 |  
j30_13_1.rcp | 300.0004 | 240257 | -1 | 494267 | 300.00018 | 388234 | -1 | 879201 |  
j30_13_2.rcp | 300.0001 | 279974 | -1 | 416215 | 300.00006 | 488549 | -1 | 715194 |  
j30_13_3.rcp | 300.0003 | 322904 | -1 | 433376 | 300.00067 | 407616 | -1 | 637292 |  
j30_13_4.rcp | 300.0042 | 161154 | -1 | 490882 | 300.0024 | 259030 | -1 | 897441 |  
j30_13_5.rcp | 300.00522 | 642836 | -1 | 417219 | 300.0042 | 706580 | -1 | 495418 |  
j30_13_6.rcp | 300.0003 | 260778 | -1 | 409662 | 300.00208 | 450236 | -1 | 761820 |  
j30_13_7.rcp | 300.0023 | 298502 | -1 | 289779 | 300.00153 | 447868 | -1 | 470771 |  
j30_13_8.rcp | 300.00256 | 104768 | -1 | 419827 | 300.00146 | 167174 | -1 | 681689 |  
j30_13_9.rcp | 300.00946 | 170509 | -1 | 312436 | 300.00024 | 273139 | -1 | 571690 |  
j30_13_10.rcp | 300.00192 | 392022 | -1 | 306605 | 300.00015 | 577250 | -1 | 500385 |  
j30_14_1.rcp | 300.00064 | 310925 | -1 | 216592 | 300.0001 | 542411 | -1 | 371097 |  
j30_14_2.rcp | 300.00293 | 240585 | -1 | 216590 | 300.00037 | 396065 | -1 | 359210 |  
j30_14_3.rcp | 300.0003 | 179161 | -1 | 437620 | 300.00018 | 333671 | -1 | 964239 |  
